node,node_lat,node_lon,ts,num,rssi,tag,tag_lat,tag_lon,tag_speed,dist_m,received
node04,15.3098003,119.9994908,2024-06-15 15:39:09,630,-12.0108488662,KMBA_04A31607C091,50.63,55.8,4.21,310,true
node18,41.714914,123.449714,2024-02-26 00:32:22,1455,-12.3854750286,KMBA_04A31607C091,57.1,51.41,1.3,950,true
node04,6.6493305,6.3917654,2024-01-22 02:24:28,1284,-21.8212311269,KMBA_04A31607C091,51.45,53.42,2.63,761,false
node02,47.247125,127.1219196,2024-02-07 21:32:07,529,-12.5398715241,KMBA_04A31607C091,50.87,58.84,2.84,797,true
node21,40.6692391,43.8709284,2024-01-17 16:01:48,986,-10.0574289435,KMBA_04A31607C091,56.49,57.56,1.18,787,false
node33,59.76039,30.4754399,2024-03-15 10:16:58,557,-10.9998396583,KMBA_04A31607C091,51.69,52.71,2.54,156,false
node04,22.6281506,114.1150734,2024-06-18 05:38:46,1245,-10.6785182343,KMBA_04A31607C091,51.26,50.51,4.13,651,true
node21,11.229568,123.6962232,2024-03-26 12:32:26,1233,-10.0201409608,KMBA_04A31607C091,55.0,59.68,3.29,165,true
node15,38.2367406,23.2164145,2024-06-16 05:33:59,1402,-11.6795297963,KMBA_04A31607C091,51.7,55.91,1.82,536,true
node02,13.4597697,44.0127731,2024-01-23 16:09:45,1103,-17.5191477017,KMBA_04A31607C091,57.54,53.17,4.41,92,true
node21,31.219568,118.268101,2025-01-22 09:43:17,1447,-17.8610281319,KMBA_04A31607C091,57.49,56.59,4.64,99,false
node04,35.2121805,71.5249154,2024-08-15 14:46:54,583,-15.1505213551,KMBA_04A31607C091,55.94,54.49,2.57,923,false
node15,13.2997024,7.79873,2024-06-30 03:03:03,1562,-23.6876066971,KMBA_04A31607C091,53.09,50.06,4.35,28,true
node21,27.320917,111.458656,2024-02-15 21:54:45,431,-10.2130674662,KMBA_04A31607C091,56.91,55.33,2.55,698,false
node35,7.8209667,-72.2896709,2024-09-11 07:07:17,533,-15.555146843,KMBA_04A31607C091,55.49,53.11,2.18,508,false
node18,49.1333104,13.740288,2024-11-27 09:37:16,359,-16.7045115896,KMBA_04A31607C091,54.02,58.18,4.27,107,false
node35,-8.1991972,113.6353431,2024-11-08 03:01:25,963,-11.2314168695,KMBA_04A31607C091,58.46,51.86,2.52,68,true
node33,11.8514489,3.6547195,2024-06-27 23:03:21,653,-11.0580228003,KMBA_04A31607C091,57.06,50.77,4.65,617,false
node35,35.591349,108.104291,2024-08-21 11:23:54,418,-14.5534803622,KMBA_04A31607C091,55.73,51.03,3.22,558,false
node02,48.6169664,2.406265,2024-08-22 23:51:12,653,-10.6448349074,KMBA_04A31607C091,50.5,54.48,3.55,922,false
node33,59.82941,30.1775921,2024-11-27 22:02:21,1324,-11.4712753904,KMBA_04A31607C091,54.52,55.7,1.98,150,true
node36,-8.690455,122.1348629,2024-11-22 04:59:15,1171,-10.6669895986,KMBA_04A31607C091,59.92,57.49,4.06,165,true
node27,3.7827632,12.2490697,2024-09-14 06:24:15,757,-11.6677927506,KMBA_04A31607C091,59.66,55.47,2.63,713,true
node02,53.4913801,-2.867264,2024-08-28 23:22:16,859,-12.4401782962,KMBA_04A31607C091,58.24,58.23,4.42,796,true
node18,54.4823669,17.486283,2024-04-16 01:10:36,1529,-11.3536970503,KMBA_04A31607C091,58.21,53.15,4.46,310,true
node27,10.379923,-74.881979,2025-01-28 09:04:18,319,-11.3277399111,KMBA_04A31607C091,56.17,59.88,2.06,573,false
